Name,Role,Matches,Win Rate,Pick Rate,Ban Rate
Samira,ADC,"208,055",50.02%,10.8%,20.4%
Sejuani,Jungle,"25,536",46.59%,1.3%,0.1%
Senna,Support,"199,651",50.94%,10.4%,8.5%
Seraphine,Support,"45,588",48.2%,2.4%,1.7%
Sett,Top,"65,308",48.85%,3.4%,0.8%
Shaco,Jungle,"85,770",48.96%,4.5%,11.5%
Shen,Top,"48,560",49.73%,2.5%,0.2%
Shyvana,Jungle,"23,373",46.54%,1.2%,0.2%
Singed,Top,"69,005",52.66%,3.6%,3.0%
Sion,Top,"71,427",48.93%,3.7%,1.2%
Sivir,ADC,"41,376",48.62%,2.1%,0.4%
Skarner,Jungle,"7,704",48.47%,0.4%,0.1%
Sona,Support,"54,636",51.6%,2.8%,0.1%
Soraka,Support,"84,028",50.07%,4.4%,1.8%
Swain,Support,"41,058",47.27%,2.1%,1.3%
Sylas,Mid,"157,589",50.06%,8.2%,10.7%
Syndra,Mid,"133,478",48.36%,6.9%,7.1%
Tahm Kench,Top,"34,288",50.87%,1.8%,0.6%
Taliyah,Jungle,"41,554",49.06%,2.2%,1.7%
Talon,Mid,"88,317",50.37%,4.6%,4.3%
Taric,Support,"29,741",52.74%,1.5%,0.3%
Teemo,Top,"98,466",51.38%,5.1%,9.8%
Thresh,Support,"215,926",49.68%,11.2%,4.5%
Tristana,ADC,"49,186",49.19%,2.6%,0.6%
Trundle,Top,"107,900",51.47%,5.6%,8.7%
Tryndamere,Top,"54,272",49.93%,2.8%,2.1%
Twisted Fate,Mid,"159,913",50.99%,8.3%,2.6%
Twitch,ADC,"117,953",51.3%,6.1%,4.3%
Udyr,Jungle,"38,466",50.27%,2.2%,1.9%
Urgot,Top,"40,555",51.09%,2.1%,0.3%
Varus,ADC,"203,715",48.78%,10.6%,3.6%
Vayne,ADC,"171,199",50.63%,8.9%,8.3%
Veigar,Mid,"46,767",47.76%,2.4%,0.8%
Vel'Koz,Support,"33,273",49.89%,1.7%,0.3%
Vex,Mid,"58,703",50.48%,3.0%,2.8%
Vi,Jungle,"79,633",50.26%,4.1%,0.9%
Viego,Jungle,"143,325",50.06%,7.4%,1.4%
Viktor,Mid,"61,133",49.65%,3.5%,1.4%
Vladimir,Mid,"112,580",51.53%,5.8%,6.8%
Volibear,Top,"47,287",46.87%,2.5%,0.7%
Warwick,Jungle,"39,822",50.29%,2.1%,0.7%
Wukong,Jungle,"20,168",47.73%,1.0%,0.2%
Xayah,ADC,"87,221",49.29%,4.5%,1.7%
Xerath,Support,"85,654",49.29%,5.0%,9.4%
Xin Zhao,Jungle,"174,448",50.52%,10.1%,6.7%
Yasuo,Mid,"140,321",49.5%,7.3%,14.4%
Yone,Mid,"112,328",48.68%,5.8%,14.2%
Yorick,Top,"29,497",47.03%,1.5%,1.3%
Yuumi,Support,"97,516",47.99%,5.1%,5.3%
Zac,Jungle,"53,701",50.09%,3.1%,1.8%
Zed,Mid,"134,577",48.06%,7.8%,21.4%
Zeri,ADC,"57,401",47.31%,3.0%,0.5%
Ziggs,ADC,"26,490",48.49%,1.4%,0.5%
Zilean,Support,"42,922",51.34%,2.2%,0.6%
Zoe,Mid,"51,200",50.19%,2.7%,1.3%
Zyra,Support,"95,060",51.07%,4.9%,4.1%
