name,role,matches,win_rate,pick_rate,ban_rate
Sejuani,Jungle,25536,0.46590000000000004,0.013000000000000001,0.001
Senna,Support,199651,0.5094,0.10400000000000001,0.085
Seraphine,Support,45588,0.48200000000000004,0.024,0.017
Sett,Top,65308,0.4885,0.034,0.008
Shaco,Jungle,85770,0.48960000000000004,0.045,0.115
Shen,Top,48560,0.49729999999999996,0.025,0.002
Shyvana,Jungle,23373,0.4654,0.012,0.002
Singed,Top,69005,0.5266,0.036000000000000004,0.03
Sion,Top,71427,0.4893,0.037000000000000005,0.012
Sivir,ADC,41376,0.48619999999999997,0.021,0.004
Skarner,Jungle,7704,0.48469999999999996,0.004,0.001
Sona,Support,54636,0.516,0.027999999999999997,0.001
Soraka,Support,84028,0.5007,0.044000000000000004,0.018000000000000002
Swain,Support,41058,0.4727,0.021,0.013000000000000001
Sylas,Mid,157589,0.5006,0.08199999999999999,0.107
Syndra,Mid,133478,0.4836,0.069,0.071
Tahm Kench,Top,34288,0.5086999999999999,0.018000000000000002,0.006
Taliyah,Jungle,41554,0.49060000000000004,0.022000000000000002,0.017
Talon,Mid,88317,0.5036999999999999,0.046,0.043
Taric,Support,29741,0.5274,0.015,0.003
Teemo,Top,98466,0.5138,0.051,0.098
Thresh,Support,215926,0.4968,0.11199999999999999,0.045
Tristana,ADC,49186,0.4919,0.026000000000000002,0.006
Trundle,Top,96213,0.5146000000000001,0.055999999999999994,0.087
Tryndamere,Top,54272,0.4993,0.027999999999999997,0.021
Twisted Fate,Mid,159913,0.5099,0.083,0.026000000000000002
Twitch,ADC,117953,0.513,0.061,0.043
Udyr,Jungle,43132,0.5033,0.022000000000000002,0.021
Urgot,Top,40555,0.5109,0.021,0.003
Varus,ADC,203715,0.4878,0.106,0.036000000000000004
Vayne,ADC,171199,0.5063,0.08900000000000001,0.083
Veigar,Mid,46767,0.47759999999999997,0.024,0.008
Vel'Koz,Support,33273,0.4989,0.017,0.003
Vex,Mid,58703,0.5047999999999999,0.03,0.027999999999999997
Vi,Jungle,79633,0.5025999999999999,0.040999999999999995,0.009000000000000001
Viego,Jungle,143325,0.5006,0.07400000000000001,0.013999999999999999
Viktor,Mid,67391,0.4963,0.035,0.013000000000000001
Vladimir,Mid,112580,0.5153,0.057999999999999996,0.068
Volibear,Top,47287,0.46869999999999995,0.025,0.006999999999999999
Warwick,Jungle,39822,0.5029,0.021,0.006999999999999999
Wukong,Jungle,20168,0.47729999999999995,0.01,0.002
Xayah,ADC,87221,0.4929,0.045,0.017
Xerath,Support,95391,0.4929,0.05,0.09300000000000001
Xin Zhao,Jungle,194354,0.5046,0.10099999999999999,0.069
Yasuo,Mid,140321,0.495,0.073,0.14400000000000002
Yone,Mid,112328,0.4868,0.057999999999999996,0.142
Yorick,Top,29497,0.4703,0.015,0.013000000000000001
Yuumi,Support,97516,0.4799,0.051,0.053
Zac,Jungle,60431,0.5028,0.031,0.018000000000000002
Zed,Mid,151384,0.48100000000000004,0.079,0.214
Zeri,ADC,57401,0.4731,0.03,0.005
Ziggs,ADC,26490,0.4849,0.013999999999999999,0.005
Zilean,Support,42922,0.5134000000000001,0.022000000000000002,0.006
Zoe,Mid,51200,0.5019,0.027000000000000003,0.013000000000000001
Zyra,Support,95060,0.5107,0.049,0.040999999999999995
